GENE,CHR,STRAND,START,STOP,SIZE
FIGF,X,-,15363712,15402535,38824
FIGLA,2,-,71004441,71017775,13335
FIGN,2,-,164464117,164592513,128397
FIGNL1,7,-,50511826,50518088,6263
FIGNL2,12,-,52211675,52225701,14027
FILIP1,6,-,76005582,76203545,197964
FILIP1L,3,-,99551987,99833357,281371
FIP1L1,4,+,54243819,54326103,82285
FIRRE,X,-,130836677,130964671,127995
FIS1,7,-,100882892,100888371,5480
FITM1,14,+,24600674,24602058,1385
FITM2,20,-,42935196,42939889,4694
FIZ1,19,-,56102736,56110893,8158
FJX1,11,+,35639734,35642421,2688
FKBP10,17,+,39968961,39979469,10509
FKBP11,12,-,49315741,49319330,3590
FKBP14,7,-,30050198,30066417,16220
FKBP15,9,-,115927799,115983641,55843
FKBP1A,20,-,1349620,1373816,24197
FKBP1AP1,19,-,58336666,58338830,2165
FKBP1A-SDCBP2,20,-,1290554,1373816,83263
FKBP1B,2,+,24272583,24286550,13968
FKBP2,11,+,64008412,64011607,3196
FKBP3,14,-,45584801,45603732,18932
FKBP4,12,+,2904107,2914587,10481
FKBP5,6,-,35541361,35696360,155000
FKBP6,7,+,72742154,72772646,30493
FKBP7,2,-,179328390,179343355,14966
FKBP8,19,-,18642567,18654383,11817
FKBP9,7,+,32997015,33046543,49529
FKBP9P1,7,-,55748766,55772260,23495
FKBPL,6,-,32096483,32098067,1585
FKRP,19,+,47249302,47261832,12531
FKSG29,13,+,100003673,100004281,609
FKTN,9,+,108320410,108403399,82990
FLAD1,1,+,154955769,154965587,9819
FLCN,17,-,17115526,17140502,24977
FLG,1,-,152274650,152297679,23030
FLG2,1,-,152321212,152332482,11271
FLG-AS1,1,+,152285934,152339168,53235
FLI1,11,+,128556429,128683162,126734
FLII,17,-,18148130,18162230,14101
FLJ10038,15,-,50641134,50647076,5943
FLJ12825,12,+,54452037,54516018,63982
FLJ13224,12,+,31477249,31478879,1631
FLJ16171,5,-,174346084,174422734,76651
FLJ16779,20,+,61885329,61892967,7639
FLJ20021,4,+,102268933,102270040,1108
FLJ21408,16,+,27279525,27301789,22265
FLJ22447,14,+,62037257,62121431,84175
FLJ22763,3,+,108855560,108868951,13392
FLJ23867,1,+,180167143,180169859,2717
FLJ25758,19,-,7004963,7006426,1464
FLJ26245,16,+,34980922,34990995,10074
FLJ26850,19,+,50553936,50570052,16117
FLJ27354,1,-,90090407,90098453,8047
FLJ30679,16,+,86588925,86590905,1981
FLJ31104,5,+,55290994,55299475,8482
FLJ31306,14,-,58732082,58764855,32774
FLJ31356,2,-,28607275,28617539,10265
FLJ31662,1,+,95940292,95944912,4621
FLJ32255,5,-,42985500,42993435,7936
FLJ33360,5,-,6310553,6337405,26853
FLJ33534,2,-,11239976,11272302,32327
FLJ33581,20,+,24180402,24205224,24823
FLJ34503,6,+,114225550,114242806,17257
FLJ35934,17,+,18314472,18317702,3231
FLJ36000,17,+,21904061,21913070,9010
FLJ36777,4,-,7099150,7105103,5954
FLJ37035,10,-,127393858,127408062,14205
FLJ37201,10,-,91451056,91457685,6630
FLJ37453,1,-,16160709,16174642,13934
FLJ37505,12,+,128366161,128383184,17024
FLJ38122,6,+,170581561,170588554,6994
FLJ38576,4,-,187110185,187112644,2460
FLJ39080,8,+,75512100,75670587,158488
FLJ40194,17,+,47325604,47336027,10424
FLJ40288,7,+,132333552,132413528,79977
FLJ41200,9,-,13406378,13431328,24951
FLJ41278,12,+,65277553,65371302,93750
FLJ41941,22,+,18512150,18520734,8585
FLJ42102,11,-,71116791,71134400,17610
FLJ42351,2,-,113399406,113401757,2352
FLJ42393,3,+,187896330,187898596,2267
FLJ42627,16,+,2688982,2696130,7149
FLJ42969,8,+,102064281,102088479,24199
FLJ43681,17,+,81174665,81188573,13909
FLJ43879,2,-,239840997,239847965,6969
FLJ44511,7,+,560027,564869,4843
FLJ44635,X,+,71364033,71381600,17568
FLJ45079,17,-,75875082,75880169,5088
FLJ45513,17,+,47923271,47926199,2929
FLJ46066,3,-,182164757,182204150,39394
FLJ46284,8,-,93725189,93798288,73100
FLJ46906,6,+,139012804,139018425,5622
FLNA,X,-,153576899,153603006,26108
FLNB,3,+,57994126,58157982,163857
FLNC,7,+,128470482,128499328,28847
FLOT1,6,-,30695510,30710453,14944
FLOT2,17,-,27206356,27224715,18360
FLRT1,11,+,63871361,63886645,15285
FLRT2,14,+,85996487,86094270,97784
FLRT3,20,-,14304638,14318313,13676
FLT1,13,-,28874482,29069265,194784
FLT3,13,-,28577410,28674729,97320
FLT3LG,19,+,49977465,49989488,12024
FLT4,5,-,180028505,180076624,48120
FLVCR1,1,+,213031596,213072705,41110
FLVCR1-AS1,1,-,213029945,213031480,1536
FLVCR2,14,+,76044939,76114512,69574
FLYWCH1,16,+,2961979,3001209,39231
FLYWCH2,16,+,2933195,2949383,16189
FMN1,15,-,33057744,33486934,429191
FMN2,1,+,240255184,240638489,383306
FMNL1,17,+,43299291,43324683,25393
FMNL2,2,+,153191750,153506348,314599
FMNL3,12,-,50031723,50101197,69475
FMO1,1,+,171217609,171255117,37509
FMO2,1,+,171154346,171181822,27477
FMO3,1,+,171060017,171086959,26943
FMO4,1,+,171283485,171311223,27739
FMO5,1,-,146655883,146697230,41348
FMO6P,1,+,171106878,171130702,23825
FMO9P,1,+,166573152,166594473,21322
FMOD,1,-,203309748,203320557,10810
FMR1,X,+,146993468,147032647,39180
FMR1-AS1,X,-,146990948,147003676,12729
FMR1NB,X,+,147062848,147108187,45340
FN1,2,-,216225178,216300791,75614
FN3K,17,+,80693451,80709073,15623
FN3KRP,17,+,80674581,80685893,11313
FNBP1,9,-,132649465,132805473,156009
FNBP1L,1,+,93913687,94020218,106532
FNBP4,11,-,47738068,47788993,50926
FNDC1,6,+,159590428,159693140,102713
FNDC3A,13,+,49550047,49783915,233869
FNDC3B,3,+,171757417,172118492,361076
FNDC4,2,-,27714749,27718126,3378
FNDC5,1,-,33327868,33338093,10226
FNDC7,1,+,109255555,109285367,29813
FNDC8,17,+,33448630,33457751,9122
FNDC9,5,-,156768606,156772729,4124
FNIP1,5,-,130977406,131132756,155351
FNIP2,4,+,159690181,159827954,137774
FNTA,8,+,42911441,42940932,29492
FNTB,14,+,65453506,65529370,75865
FOCAD,9,+,20658307,20995954,337648
FOCAD-AS1,9,-,20683300,20684749,1450
FOLH1,11,-,49168186,49230222,62037
FOLH1B,11,+,89392464,89431886,39423
FOLR1,11,+,71900601,71907367,6767
FOLR2,11,+,71927818,71932994,5177
FOLR3,11,+,71846770,71850934,4165
FOPNL,16,-,15959576,15982447,22872
FOS,14,+,75745480,75748937,3458
FOSB,19,+,45971252,45978437,7186
FOSL1,11,-,65659606,65667997,8392
FOSL2,2,+,28615778,28637516,21739
FOXA1,14,-,38058756,38064325,5570
FOXA2,20,-,22561641,22566101,4461
FOXA3,19,+,46367517,46377055,9539
FOXB1,15,+,60296420,60298142,1723
FOXB2,9,+,79634570,79635869,1300
FOXC1,6,+,1610680,1614129,3450
FOXC2,16,+,86600856,86602537,1682
FOXC2-AS1,16,-,86598750,86601367,2618
FOXCUT,6,+,1605765,1607591,1827
FOXD1,5,-,72742084,72744352,2269
FOXD2,1,+,47901688,47906363,4676
FOXD2-AS1,1,-,47897806,47900313,2508
FOXD3,1,+,63788729,63790797,2069
FOXD3-AS1,1,-,63786554,63790112,3559
FOXD4,9,-,116230,118417,2188
FOXD4L1,2,+,114256660,114258727,2068
FOXD4L3,9,+,70917782,70920000,2219
FOXD4L4,9,-,70427648,70428899,1252
FOXD4L4,9,+,42718065,42719316,1252
FOXD4L5,9,-,70175706,70178815,3110
FOXD4L6,9,-,69199479,69202204,2726
FOXE1,9,+,100615536,100618997,3462
FOXE3,1,+,47881743,47883724,1982
FOXF1,16,+,86544132,86548070,3939
FOXF2,6,+,1390068,1395832,5765
FOXG1,14,+,29236277,29239483,3207
FOXG1-AS1,14,-,29194447,29234525,40079
FOXH1,8,-,145699114,145701718,2605
FOXI1,5,+,169532916,169536729,3814
FOXI2,10,+,129535537,129539450,3914
FOXI3,2,-,88747725,88752053,4329
FOXJ1,17,-,74132414,74137380,4967
FOXJ2,12,+,8185358,8208118,22761
FOXJ3,1,-,42642209,42801548,159340
FOXK1,7,+,4721929,4811074,89146
FOXK2,17,+,80477593,80562483,84891
FOXL1,16,+,86612114,86615304,3191
FOXL2,3,-,138663065,138665982,2918
FOXL2NB,3,+,138666075,138672830,6756
FOXM1,12,-,2966846,2986321,19476
FOXN1,17,+,26850958,26865175,14218
FOXN2,2,+,48541794,48606434,64641
FOXN3,14,-,89622515,90085494,462980
FOXN3-AS1,14,+,89883697,89886137,2441
FOXN3-AS2,14,+,90042559,90043820,1262
FOXN4,12,-,109715782,109747025,31244
FOXO1,13,-,41129800,41240734,110935
FOXO3,6,+,108881025,109005971,124947
FOXO3B,17,-,18569235,18576494,7260
FOXO4,X,+,70315998,70323384,7387
FOXO6,1,+,41827602,41849263,21662
FOXP1,3,-,71003864,71633140,629277
FOXP2,7,+,113726364,114333827,607464
FOXP3,X,-,49106896,49121288,14393
FOXP4,6,+,41514163,41570122,55960
FOXQ1,6,+,1312674,1314993,2320
FOXR1,11,+,118842416,118851995,9580
FOXR2,X,+,55649832,55652621,2790
FOXRED1,11,+,126138934,126148027,9094
FOXRED2,22,-,36883232,36903148,19917
FOXS1,20,-,30432102,30433420,1319
FPGS,9,+,130565136,130576360,11225
FPGT,1,+,74663895,74674386,10492
FPGT-TNNI3K,1,+,74663895,75010116,346222
FPR1,19,-,52249022,52255150,6129
FPR2,19,+,52264452,52273779,9328
FPR3,19,+,52298410,52329334,30925
FRA10AC1,10,-,95427639,95462329,34691
FRAS1,4,+,78978723,79465423,486701
FRAT1,10,+,99079021,99081672,2652
FRAT2,10,-,99092253,99094458,2206
FREM1,9,-,14734663,14910993,176331
FREM2,13,+,39261172,39461267,200096
FREM3,4,-,144498560,144621828,123269
FRG1,4,+,190861973,190884359,22387
FRG1B,20,+,29611878,29634007,22130
FRG2,4,-,190945522,190948412,2891
FRG2B,10,-,135438602,135440299,1698
FRG2C,3,+,75713486,75716368,2883
FRG2DP,16,-,34711784,34714967,3184
FRG2EP,3,+,75713480,75716368,2889
FRK,6,-,116262692,116381921,119230
FRMD1,6,-,168456463,168482237,25775
FRMD3,9,-,85857904,86153348,295445
FRMD4A,10,-,13685705,14372866,687162
FRMD4B,3,-,69217933,69435455,217523
FRMD5,15,-,44162958,44487492,324535
FRMD6,14,+,51955838,52197444,241607
FRMD6-AS1,14,-,52116235,52118462,2228
FRMD6-AS2,14,-,51921229,52066670,145442
FRMD7,X,-,131211020,131262050,51031
FRMD8,11,+,65154040,65180995,26956
FRMD8P1,X,-,64770501,64772301,1801
FRMPD1,9,+,37651051,37746901,95851
FRMPD2,10,-,49364601,49482941,118341
FRMPD2B,10,-,48844035,49383240,539206
FRMPD3,X,+,106765679,106848474,82796
FRMPD3-AS1,X,-,106756212,106789051,32840
FRMPD4,X,+,12156584,12742642,586059
FRRS1,1,-,100174258,100231349,57092
FRRS1L,9,-,111899580,111929571,29992
FRS2,12,+,69864128,69973571,109444
FRS3,6,-,41737913,41747643,9731
FRY,13,+,32605436,32870776,265341
FRY-AS1,13,-,32598195,32605776,7582
FRYL,4,-,48499379,48782316,282938
FRZB,2,-,183698004,183731498,33495
FSBP,8,-,95439939,95449180,9242
FSCB,14,-,44973353,44976499,3147
FSCN1,7,+,5632435,5646287,13853
FSCN2,17,+,79495416,79504156,8741
FSCN3,7,+,127233688,127241851,8164
FSD1,19,+,4304590,4323843,19254
FSD1L,9,+,108210314,108314714,104401
FSD2,15,-,83424116,83474822,50707
FSHB,11,+,30252562,30256824,4263
FSHR,2,-,49189295,49381666,192372
FSIP1,15,-,39892231,40075039,182809
FSIP2,2,+,186603354,186698016,94663
FST,5,+,52776263,52782304,6042
FSTL1,3,-,120113060,120169918,56859
FSTL3,19,+,676388,683392,7005
FSTL4,5,-,132532151,132948223,416073
FSTL5,4,-,162305043,163085186,780144
FTCD,21,-,47556175,47575481,19307
FTCDNL1,2,-,200625258,200715896,90639
FTH1,11,-,61731756,61735132,3377
FTH1P18,X,-,37060954,37061867,914
FTH1P3,2,-,27615489,27616443,955
FTHL17,X,-,31089357,31090170,814
FTL,19,+,49468565,49470136,1572
FTLP10,4,+,69048009,69078188,30180
FTMT,5,+,121187649,121188523,875
FTO,16,+,53737874,54148379,410506
FTO-IT1,16,+,54073304,54074285,982
FTSJ1,X,+,48334408,48344752,10345
FTSJ2,7,-,2273925,2281833,7909
FTSJ3,17,-,61896792,61905031,8240
FTX,X,-,73247970,73513409,265440
FUBP1,1,-,78413590,78444777,31188
FUBP3,9,+,133454959,133513739,58781
FUCA1,1,-,24171571,24194859,23289
FUCA2,6,-,143815948,143833020,17073
FUK,16,+,70488497,70514177,25681
FUNDC1,X,-,44382884,44402221,19338
FUNDC2,X,+,154255063,154285191,30129
FUNDC2P2,2,+,84517805,84519324,1520
FUOM,10,-,135168657,135171529,2873
FURIN,15,+,91411821,91426688,14868
FUS,16,+,31191430,31206192,14763
FUT1,19,-,49251267,49258647,7381
FUT10,8,-,33228343,33330664,102322
FUT11,10,+,75532048,75535976,3929
FUT2,19,+,49199227,49209191,9965
FUT3,19,-,5842898,5851485,8588
FUT4,11,+,94277016,94283064,6049
FUT5,19,-,5865836,5870551,4716
FUT6,19,-,5830636,5839742,9107
FUT7,9,-,139924625,139927292,2668
FUT8,14,+,65877309,66210839,333531
FUT8-AS1,14,-,65877310,65879335,2026
FUT9,6,+,96463844,96663488,199645
FUZ,19,-,50310123,50316567,6445
FXN,9,+,71650478,71715094,64617
FXR1,3,+,180630233,180700539,70307
FXR2,17,-,7494547,7518215,23669
FXYD1,19,+,35629692,35633959,4268
FXYD2,11,-,117690789,117698807,8019
FXYD3,19,+,35606731,35615228,8498
FXYD4,10,+,43867091,43871783,4693
FXYD5,19,+,35645624,35660788,15165
FXYD6,11,-,117707690,117748201,40512
FXYD6-FXYD2,11,-,117690789,117747746,56958
FXYD7,19,+,35634153,35645205,11053
FYB,5,-,39105353,39270759,165407
FYCO1,3,-,45959390,46037316,77927
FYN,6,-,111981534,112194655,213122
FYTTD1,3,+,197476423,197511317,34895
FZD1,7,+,90893782,90898132,4351
FZD10,12,+,130647003,130650285,3283
FZD10-AS1,12,-,130636137,130646223,10087
FZD2,17,+,42634811,42638630,3820
FZD3,8,+,28351721,28431785,80065
FZD4,11,-,86656716,86666440,9725
FZD5,2,-,208627309,208634143,6835
FZD6,8,+,104310660,104345094,34435
FZD7,2,+,202899309,202903160,3852
FZD8,10,-,35927176,35930362,3187
FZD9,7,+,72848108,72850450,2343
FZR1,19,+,3506294,3536755,30462
G0S2,1,+,209848669,209849735,1067
G2E3,14,+,31028328,31089046,60719
G3BP1,5,+,151151475,151184915,33441
G3BP2,4,-,76567952,76598667,30716
G6PC,17,+,41052813,41066450,13638
G6PC2,2,+,169757749,169766510,8762
G6PC3,17,+,42148097,42153712,5616
G6PD,X,-,153759604,153775801,16198
GAA,17,+,78075354,78093679,18326
GAB1,4,+,144257982,144395718,137737
GAB2,11,-,77926335,78128868,202534
GAB3,X,-,153903526,153979858,76333
GAB4,22,-,17442826,17489112,46287
GABARAP,17,-,7143737,7145753,2017
GABARAPL1,12,+,10365488,10375724,10237
GABARAPL2,16,+,75600248,75611779,11532
GABARAPL3,15,-,90889762,90892679,2918
GABBR1,6,-,29570004,29600962,30959
GABBR2,9,-,101050363,101471479,421117
GABPA,21,+,27107257,27144771,37515
GABPB1,15,-,50569388,50647605,78218
GABPB1-AS1,15,+,50646370,50650503,4134
GABPB2,1,+,151043079,151091007,47929
GABRA1,5,+,161274196,161326965,52770
GABRA2,4,-,46251580,46392056,140477
GABRA3,X,-,151335633,151619831,284199
GABRA4,4,-,46920916,46996424,75509
GABRA5,15,+,27111865,27194357,82493
GABRA6,5,+,161112657,161129598,16942
GABRB1,4,+,47033294,47428447,395154
GABRB2,5,-,160715435,160975130,259696
GABRB3,15,-,26788693,27018935,230243
GABRD,1,+,1950767,1962192,11426
GABRE,X,-,151121595,151143151,21557
GABRG1,4,-,46037786,46126082,88297
GABRG2,5,+,161494647,161582545,87899
GABRG3,15,+,27216428,27778373,561946
GABRP,5,+,170210722,170241050,30329
GABRQ,X,+,151806636,151821825,15190
GABRR1,6,-,89887222,89941007,53786
GABRR2,6,-,89966839,90025018,58180
GABRR3,3,-,97705526,97754148,48623
GACAT1,2,+,108370567,108438585,68019
GACAT2,18,-,8695853,8707619,11767
GAD1,2,+,171673199,171717659,44461
GAD2,10,+,26505235,26593491,88257
GADD45A,1,+,68150859,68154021,3163
GADD45B,19,+,2476122,2478257,2136
GADD45G,9,+,92219926,92221469,1544
GADD45GIP1,19,-,13064969,13068068,3100
GADL1,3,-,30767691,30936153,168463
GAGE1,X,+,49363615,49373139,9525
GAGE10,X,+,49160124,49176323,16200
GAGE12B,X,+,49296814,49323188,26375
GAGE12C,X,+,49296779,49351907,55129
GAGE12D,X,+,49296768,49351917,55150
GAGE12E,X,+,49296779,49351907,55129
GAGE12F,X,+,49296745,49342360,45616
GAGE12G,X,+,49296779,49342360,45582
GAGE12H,X,+,49296779,49351907,55129
GAGE12I,X,+,49216676,49342360,125685
GAGE12J,X,+,49178508,49294588,116081
GAGE13,X,+,49188080,49294588,106509
GAGE2A,X,+,49197581,49361430,163850
GAGE2B,X,+,49235707,49242997,7291
GAGE2C,X,+,49197595,49294598,97004
GAGE2D,X,+,49197562,49233481,35920
GAGE2E,X,+,49188103,49304144,116042
GAGE4,X,+,49216648,49223939,7292
GAGE5,X,+,49216656,49223943,7288
GAGE6,X,+,49325479,49342356,16878
GAGE7,X,+,49216677,49223939,7263
GAGE8,X,+,49188103,49313700,125598
GAK,4,-,843064,926178,83115
GAL,11,+,68451982,68458643,6662
GAL3ST1,22,-,30950623,30960876,10254
GAL3ST2,2,+,242716239,242743702,27464
GAL3ST3,11,-,65808235,65816651,8417
GAL3ST4,7,-,99756864,99766373,9510
GALC,14,-,88399357,88460009,60653
GALE,1,-,24122088,24127294,5207
GALK1,17,-,73754017,73761280,7264
GALK2,15,+,49447955,49622002,174048
GALM,2,+,38893051,38961909,68859
GALNS,16,-,88880141,88923374,43234
GALNT1,18,+,33234532,33291798,57267
GALNT10,5,+,153570294,153800543,230250
GALNT11,7,+,151722777,151819427,96651
GALNT12,9,+,101569980,101612363,42384
GALNT13,2,+,154728410,155310489,582080
GALNT14,2,-,31133330,31361592,228263
GALNT15,3,+,16216183,16271253,55071
GALNT16,14,+,69726680,69821190,94511
GALNT18,11,-,11292420,11643561,351142
GALNT2,1,+,230193535,230417876,224342
GALNT3,2,-,166604312,166650803,46492
GALNT4,12,-,89913189,89918583,5395
GALNT5,2,+,158114339,158167913,53575
GALNT6,12,-,51745832,51785200,39369
GALNT7,4,+,174089903,174245118,155216
GALNT8,12,+,4829751,4881892,52142
GALNT9,12,-,132680916,132905905,224990
GALNTL5,7,+,151653463,151717019,63557
GALNTL6,4,+,172734574,173961558,1226985
GALP,19,+,56687388,56697144,9757
GALR1,18,+,74962007,74982096,20090
GALR2,17,+,74070881,74073622,2742
GALR3,22,+,38219388,38221502,2115
GALT,9,+,34646585,34650595,4011
GAMT,19,-,1397024,1401569,4546
GAN,16,+,81348570,81413803,65234
GANAB,11,-,62392297,62414198,21902
GANC,15,+,42565855,42645864,80010
GAP43,3,+,115342150,115440334,98185
GAPDH,12,+,6643570,6647541,3972
GAPDHS,19,+,36024313,36036221,11909
GAPT,5,+,57787329,57792185,4857
GAPVD1,9,+,128024072,128127290,103219
GAR1,4,+,110736665,110745893,9229
GAREM,18,-,29843483,30050447,206965
GAREML,2,+,26395959,26412532,16574
GARNL3,9,+,130025940,130155828,129889
GARS,7,+,30634180,30673648,39469
GART,21,-,34876237,34915198,38962
GAS1,9,-,89559276,89562104,2829
GAS2,11,+,22688159,22834547,146389
GAS2L1,22,+,29702984,29708778,5795
GAS2L1P2,9,-,99837952,99844227,6276
GAS2L2,17,-,34071529,34079897,8369
GAS2L3,12,+,100967488,101018685,51198
GAS5,1,-,173833038,173837125,4088
GAS5-AS1,1,+,173832385,173833079,695
GAS6,13,-,114523521,114567076,43556
GAS6-AS1,13,+,114518582,114545814,27233
GAS6-AS2,13,+,114567149,114569805,2657
GAS7,17,-,9813925,10101868,287944
GAS8,16,+,90086036,90111379,25344
GAS8-AS1,16,-,90095315,90096309,995
GAST,17,+,39868577,39872221,3645
GATA1,X,+,48644981,48652717,7737
GATA2,3,-,128198264,128212030,13767
GATA2-AS1,3,+,128208045,128222050,14006
GATA3,10,+,8096666,8117164,20499
GATA3-AS1,10,-,8092412,8095447,3036
GATA4,8,+,11561716,11617509,55794
GATA5,20,-,61038552,61051026,12475
GATA6,18,+,19749397,19782491,33095
GATA6-AS1,18,-,19746858,19748929,2072
GATAD1,7,+,92076761,92089381,12621
GATAD2A,19,+,19496641,19619741,123101
GATAD2B,1,-,153777202,153895451,118250
GATB,4,-,152591808,152682175,90368
GATC,12,+,120884240,120901556,17317
GATM,15,-,45653321,45670980,17660
GATS,7,-,99798277,99869855,71579
GATSL2,7,-,74800771,74867509,66739
GATSL3,22,-,30681106,30685616,4511
GBA,1,-,155204238,155214653,10416
GBA2,9,-,35736862,35749225,12364
GBA3,4,+,22694536,22821195,126660
GBAP1,1,-,155183615,155197325,13711
GBAS,7,+,56032269,56067875,35607
GBE1,3,-,81538849,81810950,272102
GBF1,10,+,104005254,104142656,137403
GBGT1,9,-,136028334,136039332,10999
GBP1,1,-,89517986,89531043,13058
GBP1P1,1,+,89873237,89890493,17257
GBP2,1,-,89571815,89591842,20028
GBP3,1,-,89472359,89488549,16191
GBP4,1,-,89646830,89664633,17804
GBP5,1,-,89724633,89738544,13912
GBP6,1,+,89829435,89853719,24285
GBP7,1,-,89597433,89641723,44291
GBX1,7,-,150845675,150864635,18961
GBX2,2,-,237073878,237076652,2775
GC,4,-,72607410,72671237,63828
GCA,2,+,163200582,163219148,18567
GCAT,22,+,38203911,38213183,9273
GCC1,7,-,127220681,127225654,4974
GCC2,2,+,109065576,109125854,60279
GCDH,19,+,13001942,13010813,8872
GCFC2,2,-,75889831,75938111,48281
GCG,2,-,162999378,163008914,9537
GCGR,17,+,79762007,79771889,9883
GCH1,14,-,55308723,55369542,60820
GCHFR,15,+,41056284,41059911,3628
GCK,7,-,44183869,44229022,45154
GCKR,2,+,27719705,27746550,26846
GCLC,6,-,53362139,53409927,47789
GCLM,1,-,94352589,94375012,22424
GCM1,6,-,52991759,53013624,21866
GCM2,6,-,10873455,10882098,8644
GCN1L1,12,-,120565013,120632513,67501
GCNT1,9,+,79056581,79122332,65752
GCNT2,6,+,10521567,10629601,108035
GCNT3,15,+,59903981,59912210,8230
GCNT4,5,-,74323288,74326724,3437
GCNT7,20,-,55066547,55100981,34435
GCOM1,15,+,57884101,58009755,125655
GCSAM,3,-,111839687,111852152,12466
GCSAML,1,+,247670359,247740992,70634
GCSAML-AS1,1,-,247687980,247694106,6127
GCSH,16,-,81115551,81129980,14430
GCSHP3,2,-,206980296,206981296,1001
GDA,9,+,74729510,74867140,137631
GDAP1,8,+,75262617,75279335,16719
GDAP1L1,20,+,42875738,42909557,33820
GDAP2,1,-,118406106,118472302,66197
GDE1,16,-,19513014,19533450,20437
GDF1,19,-,18979354,19006953,27600
GDF10,10,-,48425787,48439138,13352
GDF11,12,+,56137063,56146665,9603
GDF15,19,+,18496967,18499986,3020
GDF2,10,-,48413091,48416872,3782
GDF3,12,-,7842380,7848360,5981
GDF5,20,-,34021144,34025970,4827
GDF6,8,-,97154557,97173020,18464
GDF7,2,+,20866423,20871250,4828
GDF9,5,-,132196873,132202576,5704
GDI1,X,+,153665258,153671814,6557
GDI2,10,-,5807185,5855512,48328
GDNF,5,-,37812778,37839782,27005
GDNF-AS1,5,+,37840539,37875900,35362
GDPD1,17,+,57297827,57353330,55504
GDPD2,X,+,69642880,69653241,10362
GDPD3,16,-,30116130,30124878,8749
GDPD4,11,-,76927602,76998463,70862
GDPD5,11,-,75145684,75236599,90916
GDPGP1,15,+,90777486,90785312,7827
GEM,8,-,95261484,95274547,13064
GEMIN2,14,+,39583487,39606177,22691
GEMIN4,17,-,647660,655501,7842
GEMIN5,5,-,154266975,154317776,50802
GEMIN6,2,+,39005326,39009106,3781
GEMIN7,19,+,45582517,45594782,12266
GEMIN8,X,-,14024844,14048035,23192
GEMIN8P4,1,-,90458823,90460525,1703
GEN1,2,+,17935176,17966632,31457
GET4,7,+,916190,936071,19882
GFAP,17,-,42982993,42992920,9928
GFER,16,+,2034149,2037750,3602
GFI1,1,-,92940317,92952433,12117
GFI1B,9,+,135820931,135867084,46154
GFM1,3,+,158362316,158410360,48045
GFM2,5,-,74017028,74063196,46169
GFOD1,6,-,13363586,13487869,124284
GFOD2,16,-,67708435,67753273,44839
GFPT1,2,-,69546900,69614386,67487
GFPT2,5,-,179727699,179780315,52617
GFRA1,10,-,117816441,118033126,216686
GFRA2,8,-,21549529,21646346,96818
GFRA3,5,-,137588068,137610253,22186
GFRA4,20,-,3639938,3644046,4109
GFRAL,6,+,55192266,55267291,75026
GFY,19,+,49929687,49932075,2389
GGA1,22,+,38004480,38029571,25092
GGA2,16,-,23474862,23521815,46954
GGA3,17,-,73232686,73258474,25789
